pdate,shunt_name,user_id,menu_id
2022-10-29,A,20221029143748_e3bc43d238e46b9c89e6c7e35f8e8a36,1
2022-10-29,B,20190315153114_f31695e63d7b63e11f2dfd8443169a2d,1
2022-10-29,B,20210819180039_2f1b3e3f87bb8ca1328f291dc276e5c3,6
2022-10-29,B,20211007173759_7d8cf3483321ae1a1563d4bb40d895e5,4
2022-10-29,B,20211012185857_5dc72664655f77afe5f99cbddadf8b22,1
2022-10-29,B,20220103081534_057f1d5b6036179c1e728913f8f997b5,2
2022-10-29,B,20220129125431_d0de5081245d61d3ca0f572042152795,1
2022-10-29,B,20220224182601_dfc43e2dc5aa3b4ccfeece2d0ab88d4f,2
2022-10-29,B,20220228204407_073b27c5fac67501ea6ba535ceae23b8,1
2022-10-29,B,20220307103841_4cd566ed33143038f34088af5b815b39,2
2022-10-29,B,20220422100309_7f12e4847dfb5496f5efb8fce0b2ce79,1
2022-10-29,B,20220524202208_f9539bf2bc6884e2bde53dc1b129d37c,1
2022-10-29,B,20220604150820_59299351326cc8be0ff38c11b130eeee,2
2022-10-29,B,20220703143221_f95be10ce840a38d30f7e93478c71fbf,1
2022-10-29,B,20220728185438_82f6520b8d941582e21518de080f8038,1
2022-10-29,B,20220729105235_38b5708e854c700bc653f1a66d1c055f,1
2022-10-29,B,20220822100255_81e8e3f06f92b16fc5b86092729f40ec,1
2022-10-29,B,20220822111752_9f090bd8a72f4a98440dee78c1dc96d0,1
2022-10-29,B,20220823183359_8ae218b2da462c99dfc37a51d5517b7e,3
2022-10-29,B,20220824122911_f79a9f9794f1447d20efea7829f91fe2,1
2022-10-29,B,20220903160242_bbc5b18f81963e3114014615ae660e8f,2
2022-10-29,B,20220914141450_b2ace71a69cbbad7c5be4f9588f202ef,1
2022-10-29,B,20220917165943_d3afc641c4f0e883f16be98eccd178bc,1
2022-10-29,B,20220927143643_b2e9b5227189c647d3558897d2a50bee,2
2022-10-29,B,20220929203905_883eb6de100e856318de4ae62602fb1f,1
2022-10-29,B,20221001201444_e837d1553d26ae39bc189c06553fa91a,3
2022-10-29,B,20221004182048_5e7e672c5067df686e15b134cf693683,3
2022-10-29,B,20221007003224_e75bd44bd01c3917881a4c9c56d5c58c,1
2022-10-29,B,20221010105601_b73279fc012539aa44b8bf452a6d14b0,1
2022-10-29,B,20221012011823_c40667ebb99c03ce1918a0c65a663ccf,1
2022-10-29,B,20221014125903_a46ac4dc90b8fb7abb013e141d17fdea,1
2022-10-29,B,20221014192539_c3df937e43b055af3a8a6ac8598a40f3,2
2022-10-29,B,20221016012940_0d90bc9f574ffc76acb951f6a3999263,3
2022-10-29,B,20221018155037_9397c138dd5b32b7d7c67cbbea1e8b9a,1
2022-10-29,B,20221018201057_957e71c1661056d05c556078fec78aa9,2
2022-10-29,B,20221020121435_e8de10039f5fbbb4e9f46c360a50efaf,1
2022-10-29,B,20221021124233_4cbad54fa830f245e8f5499e3ef2e2c4,1
2022-10-29,B,20221021175637_2c682475de645a1af16a2f9204a6cc94,1
2022-10-29,B,20221021202924_c45ad214ba6d3d12a8a3b05e213c356d,4
2022-10-29,B,20221023170703_650e88bdd22b24fe688d7fc9946c2ea8,1
2022-10-29,B,20221023193318_5307bbc4737165f6ff57b62485de04fe,1
2022-10-29,B,20221025215516_80f6219ab366eb34a3149c8b23a6f98f,2
2022-10-29,B,20221029095535_67baea49c4361b97f30183e909989ab2,1
2022-10-29,B,20221029133923_2cfe9cfe1c754f4dfe34abb9e018840a,5
2022-10-29,B,20221029221026_9e7d232db7e6ab98a00a889a42238b13,1
2022-10-30,A,20201224164237_c57e5889c87e22c08c3a8990507dce1e,1
2022-10-30,A,20210111103658_4309a95a64a7bce842cc46f78c340360,2
2022-10-30,A,20211114160712_475038ed0bd3b7c53571f9a5814e0e64,1
2022-10-30,A,20211129110333_e5d9127da23760f60a3dd2f5793274f1,1
2022-10-30,A,20220220222114_2e99a3b4f202598b13168bd6733d6646,2
2022-10-30,A,20220309224441_15157e62ec554dbf21754acd61f29f2e,1
2022-10-30,A,20220310143806_efe36ced586a34e73bc484f935f53007,4
2022-10-30,A,20220411143316_f4687b0a7f44b7367bdd49fc604fd7ef,1
2022-10-30,A,20220507085040_29b4c8d0564648ac1dbc3a57e0b296a8,3
2022-10-30,A,20220521174116_d8953f48561a549788a376fc9b3e99fb,3
2022-10-30,A,20220618221618_86014cc206327764b6760792cfed51cb,1
2022-10-30,A,20220712150233_d19d76b3bd6eed4b66d89c70e9f0e07f,2
2022-10-30,A,20220715153527_43647d6569c9957501a68a47d662ecad,1
2022-10-30,A,20220717084008_90fc51a264fee7bce8e8d07511cbb95d,1
2022-10-30,A,20220805193319_84970c50c469bdcb9e0ba279646acc5a,2
