pdate,menu_name,A,B
2022-10-27,干锅花菜,,8.0
2022-10-27,青椒炒蛋,2.0,7.0
2022-10-27,虎皮青椒,1.0,6.0
2022-10-27,回锅肉,1.0,5.0
2022-10-27,蚝油生菜,4.0,4.0
2022-10-27,干锅包菜,1.0,4.0
2022-10-27,鱼香肉丝,,4.0
2022-10-27,西红柿炒蛋,3.0,3.0
2022-10-27,芹菜牛肉丝,1.0,3.0
2022-10-27,金汤肥牛,1.0,2.0
2022-10-27,麻婆豆腐,1.0,2.0
2022-10-27,水煮肉片,,1.0
2022-10-27,鱼香茄子,,1.0
2022-10-27,肉末茄子,8.0,
2022-10-27,糖醋包菜,5.0,
2022-10-27,酸辣白菜,3.0,
2022-10-27,香菇青菜,2.0,
2022-10-27,小炒黄牛肉,1.0,
2022-10-27,白炒鲜竹蛏,1.0,
2022-10-27,红烧肉,1.0,
2022-10-27,肉蟹煲,1.0,
2022-10-27,芦笋炒肉眼牛排（减脂餐）,1.0,
2022-10-27,蒜蓉菠菜,1.0,
2022-10-27,酸辣藕片,1.0,
2022-10-27,青椒炒肉丝,1.0,
2022-10-27,青菜豆腐汤,1.0,
2022-10-26,西红柿炒蛋,16.0,20.0
2022-10-26,酸辣土豆丝,7.0,18.0
2022-10-26,麻婆豆腐,,9.0
2022-10-26,茄汁花菜,,8.0
2022-10-26,鱼香肉丝,,8.0
2022-10-26,油焖茄子,1.0,6.0
2022-10-26,辣椒炒肉,1.0,6.0
2022-10-26,干锅花菜,,3.0
2022-10-26,蚝油生菜,1.0,2.0
2022-10-26,回锅肉,,2.0
2022-10-26,蒜蓉菠菜,,2.0
2022-10-26,水煮肉片,,1.0
2022-10-26,金汤肥牛,,1.0
2022-10-26,青椒炒蛋,,1.0
2022-10-26,酸辣白菜,3.0,
2022-10-26,农家一碗香,2.0,
2022-10-26,糖醋包菜,2.0,
2022-10-26,红烧鸡翅,2.0,
2022-10-26,可乐鸡翅,1.0,
2022-10-26,排骨炖土豆,1.0,
2022-10-26,湘味小炒肉,1.0,
2022-10-26,红烧排骨,1.0,
2022-10-26,肉末茄子,1.0,
2022-10-26,辣子鸡丁,1.0,
2022-10-25,西红柿炒蛋,6.0,26.0
2022-10-25,酸辣土豆丝,8.0,15.0
2022-10-25,茄汁花菜,,6.0
2022-10-25,养生小炒（滋补餐）,1.0,5.0
2022-10-25,芹菜牛肉丝,1.0,5.0
2022-10-25,辣椒炒肉,,5.0
2022-10-25,油焖茄子,1.0,4.0
2022-10-25,青椒炒蛋,,4.0
2022-10-25,麻婆豆腐,2.0,3.0
2022-10-25,油焖香菇（滋补餐）,,3.0
2022-10-25,蚝油生菜,,3.0
2022-10-25,虾仁炒蛋,2.0,2.0
2022-10-25,板栗焖鸡块（滋补餐）,1.0,2.0
2022-10-25,一品豆腐,,2.0
2022-10-25,松茸鸡汤（滋补餐）,,1.0
2022-10-25,蒜蓉菠菜,,1.0
2022-10-25,酸辣白菜,10.0,
2022-10-25,糖醋包菜,8.0,
2022-10-25,肉末茄子,5.0,
2022-10-25,可乐鸡翅,2.0,
2022-10-25,小炒黄牛肉,2.0,
2022-10-25,红烧鸡翅,2.0,
2022-10-25,香菇青菜,2.0,
2022-10-25,黄金带鱼,2.0,
2022-10-25,农家一碗香,1.0,
2022-10-25,干炒牛河,1.0,
2022-10-25,泰式柠檬鸡爪,1.0,
2022-10-25,红烧肉（家常版）,1.0,
2022-10-25,肉末烧土豆,1.0,
2022-10-25,蒜蓉菜心,1.0,
2022-10-25,酱爆土豆丝,1.0,
2022-10-24,西红柿炒蛋,13.0,22.0
2022-10-24,酸辣土豆丝,6.0,19.0
2022-10-24,虾仁炒蛋,2.0,13.0
2022-10-24,辣椒炒肉,2.0,9.0
2022-10-24,油焖茄子,11.0,8.0
2022-10-24,青椒炒蛋,4.0,7.0
2022-10-24,一品豆腐,1.0,6.0
2022-10-24,养生小炒（滋补餐）,,6.0
2022-10-24,松茸鸡汤（滋补餐）,,6.0
2022-10-24,茄汁花菜,3.0,3.0
2022-10-24,麻婆豆腐,2.0,3.0
2022-10-24,芹菜牛肉丝,1.0,3.0
2022-10-24,蒜蓉菠菜,1.0,3.0
2022-10-24,蚝油生菜,1.0,3.0
2022-10-24,板栗焖鸡块（滋补餐）,,2.0
2022-10-24,油焖香菇（滋补餐）,,2.0
2022-10-24,三丝烩百叶,1.0,1.0
2022-10-24,酸辣白菜,11.0,
2022-10-24,糖醋包菜,9.0,
2022-10-24,肉末茄子,6.0,
2022-10-24,可乐鸡翅,2.0,
2022-10-24,排骨炖土豆,2.0,
2022-10-24,湘味小炒肉,2.0,
2022-10-24,红烧肉（家常版）,2.0,
2022-10-24,冬瓜排骨汤,1.0,
2022-10-24,宫保鸡丁,1.0,
2022-10-24,小炒黄牛肉,1.0,
2022-10-23,西红柿炒蛋,15.0,19.0
2022-10-23,酸辣土豆丝,7.0,13.0
2022-10-23,蚝油生菜,,9.0
2022-10-23,油焖茄子,5.0,7.0
2022-10-23,油焖香菇（滋补餐）,,6.0
2022-10-23,松茸鸡汤（滋补餐）,1.0,5.0
2022-10-23,养生小炒（滋补餐）,,5.0
2022-10-23,虾仁炒蛋,1.0,4.0
2022-10-23,青椒炒蛋,,4.0
2022-10-23,一品豆腐,,3.0
2022-10-23,三丝烩百叶,,3.0
2022-10-23,板栗焖鸡块（滋补餐）,,3.0
2022-10-23,茄汁花菜,1.0,2.0
2022-10-23,麻婆豆腐,,2.0
2022-10-23,辣椒炒肉,1.0,1.0
2022-10-23,蒜蓉菠菜,,1.0
2022-10-23,酸辣白菜,14.0,
2022-10-23,糖醋包菜,7.0,
2022-10-23,排骨炖土豆,3.0,
2022-10-23,红烧肉（家常版）,3.0,
2022-10-23,可乐鸡翅,2.0,
2022-10-23,肉末茄子,2.0,
2022-10-23,大厨炒方便面,1.0,
2022-10-23,小炒黄牛肉,1.0,
2022-10-23,红烧鸡翅,1.0,
2022-10-23,肉末烧土豆,1.0,
2022-10-23,香菇青菜,1.0,
2022-10-22,西红柿炒蛋,15.0,19.0
2022-10-22,酸辣土豆丝,7.0,12.0
2022-10-22,油焖茄子,7.0,10.0
2022-10-22,油焖香菇（滋补餐）,,10.0
2022-10-22,养生小炒（滋补餐）,1.0,9.0
2022-10-22,青椒炒蛋,2.0,6.0
2022-10-22,麻婆豆腐,2.0,6.0
2022-10-22,蚝油生菜,1.0,6.0
2022-10-22,虾仁炒蛋,4.0,5.0
2022-10-22,三丝烩百叶,,5.0
2022-10-22,松茸鸡汤（滋补餐）,,5.0
2022-10-22,板栗焖鸡块（滋补餐）,,4.0
2022-10-22,蒜蓉菠菜,,4.0
2022-10-22,芹菜牛肉丝,1.0,3.0
2022-10-22,一品豆腐,,3.0
2022-10-22,辣椒炒肉,,3.0
2022-10-22,茄汁花菜,2.0,2.0
2022-10-22,酸辣白菜,12.0,
2022-10-22,肉末茄子,7.0,
2022-10-22,糖醋包菜,5.0,
2022-10-22,干炒牛河,3.0,
2022-10-22,红烧肉（家常版）,3.0,
2022-10-22,可乐鸡翅,2.0,
2022-10-22,油焖大虾,2.0,
2022-10-22,排骨炖土豆,1.0,
2022-10-22,松子玉米虾丁（月子餐）,1.0,
2022-10-22,淮南牛肉粉丝汤,1.0,
2022-10-22,白灼虾,1.0,
2022-10-22,肉末烧土豆,1.0,
2022-10-22,香菇青菜,1.0,
2022-10-22,黄金带鱼,1.0,
2022-10-21,酸辣土豆丝,5.0,17.0
2022-10-21,西红柿炒蛋,10.0,16.0
2022-10-21,虾仁炒蛋,3.0,8.0
2022-10-21,养生小炒（滋补餐）,3.0,6.0
